Development Region,Type of Hospitals,Bed Category,Number
Eastern Development Region,Private,,47
Eastern Development Region,Community,,10
Eastern Development Region,Other,,11
Central Development Region,Private,,103
Central Development Region,Community,,24
Central Development Region,Other,,16
Western Development region,Private,,40
Western Development region,Community,,14
Western Development region,Other,,5
Mid Western Development Region,Private,,17
Mid Western Development Region,Community,,3
Mid Western Development Region,Other,,1
Far Western Development Region,Private,,7
Far Western Development Region,Community,,3
Far Western Development Region,Other,,0
Kathmandu Valley,Private,,49
Kathmandu Valley,Community,,11
Kathmandu Valley,Other,,7
