Year,Type of Vehicle,Number
up to 2000 ,Bus/Mini bus/Micro bus,14507
up to 2000 ,Car//jeep/Van Pickup,54963
up to 2000 ,Crane/Dozer/Truck,21309
up to 2000 ,Tractor,21072
up to 2000 ,Tempo,6702
up to 2000 ,Motorbike,150185
up to 2000 ,others,3715
2000/01  ,Bus/Mini bus/Micro bus,1453
2000/01  ,Car//jeep/Van Pickup,5152
2000/01  ,Crane/Dozer/Truck,1271
2000/01  ,Tractor,3519
2000/01  ,Tempo,232
2000/01  ,Motorbike,29291
2000/01  ,others,77
2001/02  ,Bus/Mini bus/Micro bus,1163
2001/02  ,Car//jeep/Van Pickup,4374
2001/02  ,Crane/Dozer/Truck,1798
2001/02  ,Tractor,3189
2001/02  ,Tempo,248
2001/02  ,Motorbike,38522
2001/02  ,others,86
2002/03 ,Bus/Mini bus/Micro bus,962
2002/03 ,Car//jeep/Van Pickup,3487
2002/03 ,Crane/Dozer/Truck,1212
2002/03 ,Tractor,2485
2002/03 ,Tempo,17
2002/03 ,Motorbike,29404
2002/03 ,others,43
2003/04  ,Bus/Mini bus/Micro bus,1853
2003/04  ,Car//jeep/Van Pickup,7557
2003/04  ,Crane/Dozer/Truck,1477
2003/04  ,Tractor,2191
2003/04  ,Tempo,16
2003/04  ,Motorbike,26547
2003/04  ,others,58
2004/05 ,Bus/Mini bus/Micro bus,1622
2004/05 ,Car//jeep/Van Pickup,4781
2004/05 ,Crane/Dozer/Truck,1592
2004/05 ,Tractor,1374
2004/05 ,Tempo,48
2004/05 ,Motorbike,31093
2004/05 ,others,21
2005/06  ,Bus/Mini bus/Micro bus,2257
2005/06  ,Car//jeep/Van Pickup,5150
2005/06  ,Crane/Dozer/Truck,2263
2005/06  ,Tractor,635
2005/06  ,Tempo,60
2005/06  ,Motorbike,45410
2005/06  ,others,0
2006/07  ,Bus/Mini bus/Micro bus,2508
2006/07  ,Car//jeep/Van Pickup,5892
2006/07  ,Crane/Dozer/Truck,3278
2006/07  ,Tractor,2942
2006/07  ,Tempo,12
2006/07  ,Motorbike,72568
2006/07  ,others,1536
2007/08  ,Bus/Mini bus/Micro bus,2629
2007/08  ,Car//jeep/Van Pickup,6329
2007/08  ,Crane/Dozer/Truck,3594
2007/08  ,Tractor,3297
2007/08  ,Tempo,18
2007/08  ,Motorbike,69666
2007/08  ,others,205
2008/09  ,Bus/Mini bus/Micro bus,2564
2008/09  ,Car//jeep/Van Pickup,8144
2008/09  ,Crane/Dozer/Truck,3643
2008/09  ,Tractor,4663
2008/09  ,Tempo,20
2008/09  ,Motorbike,83334
2008/09  ,others,202
2009/10 ,Bus/Mini bus/Micro bus,2810
2009/10 ,Car//jeep/Van Pickup,14243
2009/10 ,Crane/Dozer/Truck,4524
2009/10 ,Tractor,11460
2009/10 ,Tempo,9
2009/10 ,Motorbike,168707
2009/10 ,others,31
2010/11 ,Bus/Mini bus/Micro bus,3095
2010/11 ,Car//jeep/Van Pickup,8510
2010/11 ,Crane/Dozer/Truck,1969
2010/11 ,Tractor,7937
2010/11 ,Tempo,2
2010/11 ,Motorbike,138907
2010/11 ,others,133
2011/12 ,Bus/Mini bus/Micro bus,3410
2011/12 ,Car//jeep/Van Pickup,8711
2011/12 ,Crane/Dozer/Truck,1333
2011/12 ,Tractor,8413
2011/12 ,Tempo,10
2011/12 ,Motorbike,145135
2011/12 ,others,91
2012/13 ,Bus/Mini bus/Micro bus,4749
2012/13 ,Car//jeep/Van Pickup,9595
2012/13 ,Crane/Dozer/Truck,3332
2012/13 ,Tractor,9795
2012/13 ,Tempo,57
2012/13 ,Motorbike,175381
2012/13 ,others,152
